action_id,requirement_family,control_ref,scope_eir,workstream,source_ref,source_type,source_page,source_confidence,finding_summary,task,deliverable,evidence_required,priority,phase,status,human_owner,human_approver,deadline_basis,target_offset_days,target_date,cost_band,spend_timing,purchase_trigger,ai_eligibility,ai_role,human_gate,dependencies,external_submission,notes
A-056,2,2.15,Vezetéstámogató;Irodai;Termelés,Hozzáférés-felügyelet,SRC-008,audit_gap,118–119;208;297–298,machine_unvalidated,"A(z) 2.15 Hozzáférési szabályok érvényesítése követelménycsoportnál 3, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kiemelt. Findingok: F-0085;F-0167;F-0249.","2.15 – Hozzáférési szabályok érvényesítése: 1) A szervezetnek meg kell határoznia és dokumentálnia a logikai hozzáférési jogosultságokat az EIR-hez. 2) A szervezetnek létre kell hoznia egy szabályzatot, amely meghatározza, hogyan kell kezelni és érvényesíteni a logikai hozzáférési jogosultságokat az EIR-ben. 3) A szervezetnek naplóznia kell a logikai hozzáférési jogosultságok használatát az EIR-ben. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","2.15 – Hozzáférési szabályok érvényesítése végrehajtási csomag: jóváhagyott EIR-scope, 4 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott hozzáférési szabály, konfigurációexport, jogosultsági vagy hozzáférési teszt és kivételnapló, kontrollgazdai és G1 reviewer sign-off. Továbbá: 4 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL;G3_PRODUCTION_CHANGE,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: TBD – belső metALCOM technikai kontrollgazda. Közreműködők: Kollár Csaba – technikai végrehajtó; Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-01-31. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-057,2,2.71,Vezetéstámogató;Irodai;Termelés,Hozzáférés-felügyelet,SRC-008,audit_gap,119–120;208–209;298–299,machine_unvalidated,"A(z) 2.71 Sikertelen bejelentkezési kísérletek követelménycsoportnál 3, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kis mértékű. Findingok: F-0086;F-0168;F-0250.","2.71 – Sikertelen bejelentkezési kísérletek: 1) A szervezetnek meghatározott esetszám korlátot kell alkalmaznia a felhasználló meghatározott időtartamon belül egymást követő sikertelen bejelentkezési kísérleteire. 2) A szervezetnek implementálnia kell egy olyan megoldást, amely képes nyomon követni és naplózni a sikertelen bejelentkezési kísérleteket. 3) A szervezetnek meghatározott időközönként, rendszeresen felül kell vizsgálnia és szükség esetén frissítenie kell a bejelentkezési kísérletekkel kapcsolatos intézkedéseket, így biztosítva azok hatékonyságát és naprakészségét. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","2.71 – Sikertelen bejelentkezési kísérletek végrehajtási csomag: jóváhagyott EIR-scope, 6 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott hozzáférési szabály, konfigurációexport, jogosultsági vagy hozzáférési teszt és kivételnapló, kontrollgazdai és G1 reviewer sign-off. Továbbá: 6 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL;G3_PRODUCTION_CHANGE,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: TBD – belső metALCOM technikai kontrollgazda. Közreműködők: Kollár Csaba – technikai végrehajtó; Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-04-30. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-058,2,2.75,Vezetéstámogató;Irodai;Termelés,Hozzáférés-felügyelet,SRC-008,audit_gap,120–122;209–211;299–300,machine_unvalidated,"A(z) 2.75 A rendszerhasználat jelzése követelménycsoportnál 3, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kiemelt. Findingok: F-0087;F-0169;F-0251.","2.75 – A rendszerhasználat jelzése: 1) Határozza meg az EIR-ek belépési felületén megjelenítendő, jogilag és információbiztonságilag jóváhagyott rendszerhasználati figyelmeztetés tartalmát. 2) Állítsa be a jóváhagyott figyelmeztetés megjelenítését minden alkalmazandó interaktív belépési ponton, még a hitelesítés vagy a hozzáférés engedélyezése előtt. 3) Dokumentálja a szövegváltozatot, a konfigurációt, a képernyőképes vagy konfigurációexport-alapú próbaeredményt és a felülvizsgálati ciklust. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","2.75 – A rendszerhasználat jelzése végrehajtási csomag: jóváhagyott EIR-scope, 4 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott hozzáférési szabály, konfigurációexport, jogosultsági vagy hozzáférési teszt és kivételnapló, kontrollgazdai és G1 reviewer sign-off. Továbbá: 4 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL;G3_PRODUCTION_CHANGE,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: TBD – belső metALCOM technikai kontrollgazda. Közreműködők: Kollár Csaba – technikai végrehajtó; Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-01-31. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-059,2,2.88,Vezetéstámogató;Irodai;Termelés,Hozzáférés-felügyelet,SRC-008,audit_gap,122;211;300–301,machine_unvalidated,"A(z) 2.88 Azonosítás vagy hitelesítés nélkül engedélyezett tevékenységek követelménycsoportnál 3, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kiemelt. Findingok: F-0088;F-0170;F-0252.","2.88 – Azonosítás vagy hitelesítés nélkül engedélyezett tevékenységek: 1) A szervezetnek azonosítania kell azokat a felhasználói tevékenységeket, amelyeket az EIR-ben azonosítás vagy hitelesítés nélkül is végrehajthatnak. 2) A szervezetnek meg kell határoznia azokat a tevékenységeket, amelyek normál esetben azonosítást vagy hitelesítést igényelnek, de bizonyos körülmények között lehetővé teszik az azonosítási vagy hitelesítési mechanizmusok megkerülését. 3) A szervezetnek rendszeresen felül kell vizsgálnia ezeket az azonosítást és hitelesítést nem igénylő felhasználói tevékenységeket, és amennyiben azok már nincsenek összhangban a szervezeti célokkal és az üzleti funkciókkal, meg kell szüntetnie azokat. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","2.88 – Azonosítás vagy hitelesítés nélkül engedélyezett tevékenységek végrehajtási csomag: jóváhagyott EIR-scope, 4 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott hozzáférési szabály, konfigurációexport, jogosultsági vagy hozzáférési teszt és kivételnapló, kontrollgazdai és G1 reviewer sign-off. Továbbá: 4 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL;G3_PRODUCTION_CHANGE,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: TBD – belső metALCOM technikai kontrollgazda. Közreműködők: Kollár Csaba – technikai végrehajtó; Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-01-31. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-060,2,2.100,Vezetéstámogató;Irodai;Termelés,Hozzáférés-felügyelet,SRC-008,audit_gap,122–123;211–212;301–302,machine_unvalidated,"A(z) 2.100 Távoli hozzáférés követelménycsoportnál 3, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kiemelt. Findingok: F-0089;F-0171;F-0253.","2.100 – Távoli hozzáférés: 1) A szervezetnek ki kell dolgoznia és dokumentálnia kell az engedélyezett távoli hozzáférés minden egyes típusára vonatkozó használati korlátozásokat, a konfigurációs vagy csatlakozási követelményeket és az alkalmazási útmutatókat. 2) A szervezetnek titkosított magánhálózatokat (VPN-eket) kell használnia a távoli kapcsolatok bizalmasságának és integritásának megőrzése érdekében. 3) A szervezetnek dokumentálnia kell, hogy mely felhasználók részére került engedélyezésre a távoli hozzáférés. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","2.100 – Távoli hozzáférés végrehajtási csomag: jóváhagyott EIR-scope, 5 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott hozzáférési szabály, konfigurációexport, jogosultsági vagy hozzáférési teszt és kivételnapló, kontrollgazdai és G1 reviewer sign-off. Továbbá: 5 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL;G3_PRODUCTION_CHANGE,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: TBD – belső metALCOM technikai kontrollgazda. Közreműködők: Kollár Csaba – technikai végrehajtó; Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-01-31. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-061,2,2.108,Vezetéstámogató;Irodai;Termelés,Hozzáférés-felügyelet,SRC-008,audit_gap,123–124;212–213;302,machine_unvalidated,"A(z) 2.108 Vezeték nélküli hozzáférés követelménycsoportnál 3, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés elhanyagolható. Findingok: F-0090;F-0172;F-0254.","2.108 – Vezeték nélküli hozzáférés: 1) A szervezetnek konfigurációs követelményeket, kapcsolódási követelményeket és alkalmazási útmutatót kell kidolgoznia minden egyes vezeték nélküli hozzáférési típusra. 2) A szervezetnek engedélyezési eljárást kell lefolytatnia az EIR-hez való vezeték nélküli hozzáférés minden egyes típusára, mielőtt lehetővé tenné ezeket a kapcsolatokat. 3) A szervezetnek biztosítania kell, hogy a vezeték nélküli hozzáféréshez kapcsolódó biztonsági elvárásokat minden releváns személy megismerje és azokat be is tartsa. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","2.108 – Vezeték nélküli hozzáférés végrehajtási csomag: jóváhagyott EIR-scope, 4 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott hozzáférési szabály, konfigurációexport, jogosultsági vagy hozzáférési teszt és kivételnapló, kontrollgazdai és G1 reviewer sign-off. Továbbá: 4 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P2,M3_3_6M,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL;G3_PRODUCTION_CHANGE,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: TBD – belső metALCOM technikai kontrollgazda. Közreműködők: Kollár Csaba – technikai végrehajtó; Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-06-30. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-062,2,2.113,Vezetéstámogató;Irodai;Termelés,Hozzáférés-felügyelet,SRC-008,audit_gap,124;213–214;302–303,machine_unvalidated,"A(z) 2.113 Mobil eszközök hozzáférés-ellenőrzése követelménycsoportnál 3, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kiemelt. Findingok: F-0091;F-0173;F-0255.","2.113 – Mobil eszközök hozzáférés-ellenőrzése: 1) A szervezetnek ki kell alakítania a konfigurációs követelményeket, kapcsolódási követelményeket és alkalmazási útmutatót a mobil eszközök számára, különös tekintettel azokra az esetekre, amikor a mobil eszközök az érintett szervezet által ellenőrzött területen kívül helyezkednek el. 2) A szervezetnek engedélykötelessé kell tennie a mobil eszközökkel történő kapcsolódást az EIR-hez. 3) A szervezetnek rendszeresen felül kell vizsgálnia a kiadott engedélyeket, és a már nem szükséges engedélyeket vissza kell vonnia. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","2.113 – Mobil eszközök hozzáférés-ellenőrzése végrehajtási csomag: jóváhagyott EIR-scope, 4 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott hozzáférési szabály, konfigurációexport, jogosultsági vagy hozzáférési teszt és kivételnapló, kontrollgazdai és G1 reviewer sign-off. Továbbá: 4 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL;G3_PRODUCTION_CHANGE,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: TBD – belső metALCOM technikai kontrollgazda. Közreműködők: Kollár Csaba – technikai végrehajtó; Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-01-31. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-063,2,2.115,Vezetéstámogató;Irodai;Termelés,Hozzáférés-felügyelet,SRC-008,audit_gap,124–125;214–215;303–304,machine_unvalidated,"A(z) 2.115 Külső elektronikus információs rendszerek használata követelménycsoportnál 3, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kis mértékű. Findingok: F-0092;F-0174;F-0256.","2.115 – Külső elektronikus információs rendszerek használata: 1) A szervezetnek meg kell határoznia a felhasználási feltételeket a külső rendszerekkel kapcsolatban. 2) A szervezetnek bizalmi kapcsolatokat kell létrehoznia a külső rendszereket birtokló, üzemeltető vagy karbantartó szervezetekkel. 3) Ha a felhasználási feltételeket nem lehet meghatározni a külső rendszerek tulajdonosaival, a szervezet korlátozásokat vezethet be azokkal a személyekkel szemben, akik ezeket a külső rendszereket használják. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","2.115 – Külső elektronikus információs rendszerek használata végrehajtási csomag: jóváhagyott EIR-scope, 4 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott hozzáférési szabály, konfigurációexport, jogosultsági vagy hozzáférési teszt és kivételnapló, kontrollgazdai és G1 reviewer sign-off. Továbbá: 4 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL;G3_PRODUCTION_CHANGE,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: TBD – belső metALCOM technikai kontrollgazda. Közreműködők: Kollár Csaba – technikai végrehajtó; Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-04-30. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-064,2,2.124,Vezetéstámogató;Irodai;Termelés,Hozzáférés-felügyelet,SRC-008,audit_gap,125–126;215–216;304–305,machine_unvalidated,"A(z) 2.124 Nyilvánosan elérhető tartalom követelménycsoportnál 3, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kiemelt. Findingok: F-0093;F-0175;F-0257.","2.124 – Nyilvánosan elérhető tartalom: 1) A szervezetnek gondoskodnia kell a nyilvános információk közzétételével kapcsolatos feladatok ellátásról. 2) A szervezetnek tájékoztatást kell nyújtania a jogosult személyeknek annak érdekében, hogy képesek legyenek annak a megállapítására, hogy mely információk tehetők nyilvánosan elérhetővé. 3) A szervezetnek meghatározott gyakorisággal át kell tekintenie a nyilvánosan elérhető tartalmakat, hogy azok tartalmaznak-e nem nyilvános információkat. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","2.124 – Nyilvánosan elérhető tartalom végrehajtási csomag: jóváhagyott EIR-scope, 4 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott hozzáférési szabály, konfigurációexport, jogosultsági vagy hozzáférési teszt és kivételnapló, kontrollgazdai és G1 reviewer sign-off. Továbbá: 4 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL;G3_PRODUCTION_CHANGE,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: TBD – belső metALCOM technikai kontrollgazda. Közreműködők: Kollár Csaba – technikai végrehajtó; Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-01-31. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-065,3,3.2,Szervezet,Tudatosság és képzés,SRC-008,audit_gap,41–42,machine_unvalidated,"A(z) 3.2 Biztonságtudatossági képzés követelménycsoportnál 1, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kiemelt. Findingok: F-0022.","3.2 – Biztonságtudatossági képzés: 1) A szervezetnek ki kell dolgoznia egy alap- és haladó szintű biztonságtudatossági képzést és azokat meg kell tartania a felhasználók számára, mely magában foglalja a felhasználók tudásszintjének mérését is. 2) A szervezetnek a biztonságtudatossági képzés tartalmát a szervezeti követelmények, a felhasználók által elérhető rendszerek, és a munkakörnyezet alapján (pl.: távmunka) kell meghatároznia. 3) A szervezetnek dokumentálnia kell a biztonságtudatossági képzések lebonyolítását pl.: jelenléti ívek használata, automatikusan generált részvételi igazolás. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","3.2 – Biztonságtudatossági képzés végrehajtási csomag: jóváhagyott EIR-scope, 10 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott képzési terv és anyag, résztvevői nyilvántartás, tudásellenőrzés és felülvizsgálati rekord, kontrollgazdai és G1 reviewer sign-off. Továbbá: 10 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: Koncz Erika – HR-kontrollgazda. Közreműködők: Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-01-31. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-066,3,3.4,Szervezet,Tudatosság és képzés,SRC-008,audit_gap,42–43,machine_unvalidated,"A(z) 3.4 Biztonságtudatossági képzés – Belső fenyegetés követelménycsoportnál 1, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kiemelt. Findingok: F-0023.","3.4 – Biztonságtudatossági képzés – Belső fenyegetés: 1) A szervezetnek tisztában kell lennie azzal, hogy mi a belső fenyegetés és mik lehetnek annak potenciális jelei. 2) A szervezetnek törekednie kell a belső fenyegetések potenciális jeleinek felismerésére és meg kell tennie a szükséges intézkedéseket, melyekkel igyekszik csökkenteni a fenyegetés mértékét vagy megszüntetni azt. 3) A szervezet a belső fenyegetéssel kapcsolatos tudnivalók oktatását megvalósíthatja személyre szabottan is, az érintettek szerepköre szerint. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","3.4 – Biztonságtudatossági képzés – Belső fenyegetés végrehajtási csomag: jóváhagyott EIR-scope, 4 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott képzési terv és anyag, résztvevői nyilvántartás, tudásellenőrzés és felülvizsgálati rekord, kontrollgazdai és G1 reviewer sign-off. Továbbá: 4 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: Koncz Erika – HR-kontrollgazda. Közreműködők: Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-01-31. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
A-067,3,3.9,Szervezet,Tudatosság és képzés,SRC-008,audit_gap,43–44,machine_unvalidated,"A(z) 3.9 Szerepkör alapú biztonsági képzés követelménycsoportnál 1, közvetlen intézkedéshez eddig nem rendelt auditeltérés található; a legmagasabb értékelés kiemelt. Findingok: F-0024.","3.9 – Szerepkör alapú biztonsági képzés: 1) A szervezetnek szerepkör alapú biztonsági képzést kell biztosítania a felhasználóknak. 2) A kezdeti képzést követően a szervezetnek a vonatkozó hatályos jogszabályok, irányelvek, szabályozások, szabványok és ajánlások alapján meghatározott minimális gyakorisággal kell lefolytatnia a biztonságtudatossági képzéseket. 3) A szervezetnek be kell építenie a belső vagy külső biztonsági eseményekből levont tanulságokat a szerepköralapú biztonsági képzésekbe. Az alkalmazhatóságot és a végrehajtást érintett EIR-enként rögzítse; az eltérésekhez nevezzen meg felelőst, céldátumot és kompenzáló kontrollt.","3.9 – Szerepkör alapú biztonsági képzés végrehajtási csomag: jóváhagyott EIR-scope, 5 pontos státuszchecklist, kontrollbeállítás vagy eljárás, kivételjegyzék és próbaeredmény.","jóváhagyott képzési terv és anyag, résztvevői nyilvántartás, tudásellenőrzés és felülvizsgálati rekord, kontrollgazdai és G1 reviewer sign-off. Továbbá: 5 pontos végrehajtási checklist; scope- és kontrollgazda-jóváhagyás; teszt- vagy működési mintarekord; kivétellista; védett URI, SHA-256 és reviewer-döntés.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,management_schedule,,,B0,NOW_B0,,partial,remediation_planner,G1_DOMAIN_REVIEW;G2_SECURITY_LEGAL,A-004;A-005,no,"Lefedettségpótló AI-javaslat – részletesítve 2026-08-19. Javasolt kontrollgazda: Koncz Erika – HR-kontrollgazda. Közreműködők: Lángi Zoltán – IBF review. Javasolt G1 review: 2026-09-11; javasolt teljesítés: 2027-01-31. A dátumok, szerepek, EIR-hatókör és technikai lépések nem jóváhagyottak; a kanonikus target_date ezért üres marad. Részletes rekord: data/action_execution_details.csv. Az SRC-009 megvalósítási útmutatója javaslati forrás; G1 review előtt nem kötelező vagy igazolt megoldás."
