action_id,status,priority,complexity_band,procurement_gate,dependency_ids,previous_target_date,calculated_target_date,wave_id,sequencing_reason,calendar_completion_cap,operational_completion_cap,schedule_status,decision_ref
A-115,NEW,P2,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-116,NEW,P2,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-117,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-118,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-119,NEW,P2,MODERATE,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-120,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-121,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-122,NEW,P1,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-123,NEW,P2,MODERATE,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-124,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-125,NEW,P1,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-126,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-127,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
